Actor_Id,Actor
1,Tim Robbins
2,Morgan Freeman
3,Bob Gunton
4,William Sadler
5,Marlon Brando
6,Al Pacino
7,James Caan
8,Diane Keaton
9,Christian Bale
10,Heath Ledger
11,Aaron Eckhart
12,Michael Caine
13,Robert De Niro
14,Robert Duvall
15,Henry Fonda
16,Lee J. Cobb
17,Martin Balsam
18,John Fiedler
19,Elijah Wood
20,Viggo Mortensen
21,Ian McKellen
22,Orlando Bloom
23,John Travolta
24,Uma Thurman
25,Samuel L. Jackson
26,Bruce Willis
27,Liam Neeson
28,Ralph Fiennes
29,Ben Kingsley
30,Caroline Goodall
31,Leonardo DiCaprio
32,Joseph Gordon-Levitt
33,Elliot Page
34,Ken Watanabe
35,Brad Pitt
36,Edward Norton
37,Meat Loaf
38,Zach Grenier
39,Sean Bean
40,Tom Hanks
41,Robin Wright
42,Gary Sinise
43,Sally Field
44,Clint Eastwood
45,Eli Wallach
46,Lee Van Cleef
47,Aldo Giuffrè
48,Lilly Wachowski
49,Keanu Reeves
50,Laurence Fishburne
51,Carrie-Anne Moss
52,Ray Liotta
53,Joe Pesci
54,Lorraine Bracco
55,Mark Hamill
56,Harrison Ford
57,Carrie Fisher
58,Billy Dee Williams
59,Jack Nicholson
60,Louise Fletcher
61,Michael Berryman
62,Peter Brocco
63,Lin-Manuel Miranda
64,Phillipa Soo
65,Leslie Odom Jr.
66,Renée Elise Goldsberry
67,Kang-ho Song
68,Lee Sun-kyun
69,Cho Yeo-jeong
70,Choi Woo-sik
71,Suriya
72,Madhavan
73,Paresh Rawal
74,Aparna Balamurali
75,Matthew McConaughey
76,Anne Hathaway
77,Jessica Chastain
78,Mackenzie Foy
79,Kátia Lund
80,Alexandre Rodrigues
81,Leandro Firmino
82,Matheus Nachtergaele
83,Daveigh Chase
84,Suzanne Pleshette
85,Miyu Irino
86,Rumi Hiiragi
87,Matt Damon
88,Tom Sizemore
89,Edward Burns
90,Michael Clarke Duncan
91,David Morse
92,Bonnie Hunt
93,Roberto Benigni
94,Nicoletta Braschi
95,Giorgio Cantarini
96,Giustino Durano
97,Kevin Spacey
98,Andrew Kevin Walker
99,Jodie Foster
100,Anthony Hopkins
101,Lawrence A. Bonney
102,Kasi Lemmons
103,Alec Guinness
104,Tatsuya Nakadai
105,Akira Ishihama
106,Shima Iwashita
107,Tetsurô Tanba
108,Toshirô Mifune
109,Takashi Shimura
110,Keiko Tsushima
111,Yukiko Shimazaki
112,James Stewart
113,Donna Reed
114,Lionel Barrymore
115,Thomas Mitchell
116,Joaquin Phoenix
117,Zazie Beetz
118,Frances Conroy
119,Miles Teller
120,J.K. Simmons
121,Melissa Benoist
122,Paul Reiser
123,Éric Toledano
124,François Cluzet
125,Omar Sy
126,Anne Le Ny
127,Hugh Jackman
128,Scarlett Johansson
129,Mark Wahlberg
130,Adrien Brody
131,Thomas Kretschmann
132,Frank Finlay
133,Emilia Fox
134,Russell Crowe
135,Connie Nielsen
136,Oliver Reed
137,Edward Furlong
138,Beverly D'Angelo
139,Jennifer Lien
140,Gabriel Byrne
141,Chazz Palminteri
142,Stephen Baldwin
143,Jean Reno
144,Gary Oldman
145,Natalie Portman
146,Danny Aiello
147,Rob Minkoff
148,Matthew Broderick
149,Jeremy Irons
150,James Earl Jones
151,Arnold Schwarzenegger
152,Linda Hamilton
153,Robert Patrick
154,Philippe Noiret
155,Enzo Cannavale
156,Antonella Attili
157,Isa Danieli
158,Tsutomu Tatsumi
159,Ayano Shiraishi
160,Akemi Yamaguchi
161,Yoshiko Shinohara
162,Michael J. Fox
163,Christopher Lloyd
164,Lea Thompson
165,Crispin Glover
166,Charles Bronson
167,Claudia Cardinale
168,Jason Robards
169,Anthony Perkins
170,Janet Leigh
171,Vera Miles
172,John Gavin
173,Humphrey Bogart
174,Ingrid Bergman
175,Paul Henreid
176,Claude Rains
177,Charles Chaplin
178,Paulette Goddard
179,Henry Bergman
180,Tiny Sandford
181,Virginia Cherrill
182,Florence Lee
183,Harry Myers
184,Zain Al Rafeea
185,Yordanos Shiferaw
186,Boluwatife Treasure Bankole
187,Kawsar Al Haddad
188,Erdem Can
189,Çetin Tekindor
190,Ismail Hacioglu
191,Kyung-jin Lee
192,Pushkar
193,Vijay Sethupathi
194,Shraddha Srinath
195,Ryûnosuke Kamiki
196,Mone Kamishiraishi
197,Ryô Narita
198,Aoi Yûki
199,Aamir Khan
200,Sakshi Tanwar
201,Fatima Sana Shaikh
202,Sanya Malhotra
203,Peter Ramsey
204,Rodney Rothman
205,Shameik Moore
206,Jake Johnson
207,Joe Russo
208,Robert Downey Jr.
209,Chris Evans
210,Mark Ruffalo
211,Chris Hemsworth
212,Adrian Molina
213,Anthony Gonzalez
214,Gael García Bernal
215,Benjamin Bratt
216,Jamie Foxx
217,Christoph Waltz
218,Kerry Washington
219,Tom Hardy
220,Mona Singh
221,Sharman Joshi
222,Amole Gupte
223,Darsheel Safary
224,Tisca Chopra
225,Ben Burtt
226,Elissa Knight
227,Jeff Garlin
228,Fred Willard
229,Ulrich Mühe
230,Martina Gedeck
231,Sebastian Koch
232,Ulrich Tukur
233,Choi Min-sik
234,Yoo Ji-Tae
235,Kang Hye-jeong
236,Kim Byeong-Ok
237,Guy Pearce
238,Joe Pantoliano
239,Mark Boone Junior
240,Yôji Matsuda
241,Yuriko Ishida
242,Yûko Tanaka
243,Billy Crudup
244,James Woods
245,Elizabeth McGovern
246,Treat Williams
247,Karen Allen
248,Paul Freeman
249,John Rhys-Davies
250,Shelley Duvall
251,Danny Lloyd
252,Scatman Crothers
253,Martin Sheen
254,Frederic Forrest
255,Sigourney Weaver
256,Tom Skerritt
257,John Hurt
258,Veronica Cartwright
259,Rajesh Khanna
260,Amitabh Bachchan
261,Sumita Sanyal
262,Ramesh Deo
263,Yutaka Sada
264,Kyôko Kagawa
265,Peter Sellers
266,George C. Scott
267,Sterling Hayden
268,Keenan Wynn
269,Tyrone Power
270,Marlene Dietrich
271,Charles Laughton
272,Elsa Lanchester
273,Kirk Douglas
274,Ralph Meeker
275,Adolphe Menjou
276,George Macready
277,Grace Kelly
278,Wendell Corey
279,Thelma Ritter
280,William Holden
281,Gloria Swanson
282,Erich von Stroheim
283,Nancy Olson
284,Jack Oakie
285,Reginald Gardiner
286,Dean-Charles Chapman
287,George MacKay
288,Daniel Mays
289,Colin Firth
290,Anand Gandhi
291,Adesh Prasad
292,Sohum Shah
293,Jyoti Malshe
294,Ayushmann Khurrana
295,Tabu
296,Radhika Apte
297,Anil Dhawan
298,Mohanlal
299,Meena
300,Asha Sharath
301,Ansiba
302,Mads Mikkelsen
303,Thomas Bo Larsen
304,Annika Wedderkopp
305,Lasse Fogelstrøm
306,Payman Maadi
307,Leila Hatami
308,Sareh Bayat
309,Shahab Hosseini
310,Lubna Azabal
311,Mélissa Désormeaux-Poulin
312,Maxim Gaudette
313,Mustafa Kamel
314,Aras Bulut Iynemli
315,Nisa Sofiya Aksongur
316,Deniz Baysal
317,Celile Toyon Uysal
318,Fikret Kuskan
319,Hümeyra
320,Ege Tanman
321,Diane Kruger
322,Eli Roth
323,Mélanie Laurent
324,Jim Carrey
325,Kate Winslet
326,Tom Wilkinson
327,Gerry Robert Byrne
328,Audrey Tautou
329,Mathieu Kassovitz
330,Rufus
331,Lorella Cravotta
332,Jason Statham
333,Benicio Del Toro
334,Dennis Farina
335,Ellen Burstyn
336,Jared Leto
337,Jennifer Connelly
338,Marlon Wayans
339,Annette Bening
340,Thora Birch
341,Wes Bentley
342,Robin Williams
343,Ben Affleck
344,Stellan Skarsgård
345,Mohammad Amir Naji
346,Amir Farrokh Hashemian
347,Bahare Seddiqi
348,Nafise Jafar-Mohammadi
349,Tim Allen
350,Don Rickles
351,Jim Varney
352,Mel Gibson
353,Sophie Marceau
354,Patrick McGoohan
355,Angus Macfadyen
356,Harvey Keitel
357,Tim Roth
358,Michael Madsen
359,Chris Penn
360,Matthew Modine
361,R. Lee Ermey
362,Vincent D'Onofrio
363,Adam Baldwin
364,Aleksey Kravchenko
365,Olga Mironova
366,Liubomiras Laucevicius
367,Vladas Bagdonas
368,Michael Biehn
369,Carrie Henn
370,F. Murray Abraham
371,Tom Hulce
372,Elizabeth Berridge
373,Roy Dotrice
374,Michelle Pfeiffer
375,Steven Bauer
376,Mary Elizabeth Mastrantonio
377,Jürgen Prochnow
378,Herbert Grönemeyer
379,Klaus Wennemann
380,Hubertus Bengsch
381,Cybill Shepherd
382,Albert Brooks
383,Paul Newman
384,Robert Redford
385,Robert Shaw
386,Charles Durning
387,Malcolm McDowell
388,Patrick Magee
389,Michael Bates
390,Warren Clarke
391,Keir Dullea
392,Gary Lockwood
393,William Sylvester
394,Daniel Richter
395,Gian Maria Volontè
396,Mara Krupp
397,Peter O'Toole
398,Anthony Quinn
399,Jack Hawkins
400,Jack Lemmon
401,Shirley MacLaine
402,Fred MacMurray
403,Ray Walston
404,Cary Grant
405,Eva Marie Saint
406,James Mason
407,Jessie Royce Landis
408,Kim Novak
409,Barbara Bel Geddes
410,Tom Helmore
411,Gene Kelly
412,Donald O'Connor
413,Debbie Reynolds
414,Nobuo Kaneko
415,Shin'ichi Himori
416,Haruo Tanaka
417,Lamberto Maggiorani
418,Enzo Staiola
419,Lianella Carell
420,Elena Altieri
421,Barbara Stanwyck
422,Edward G. Robinson
423,Byron Barr
424,Orson Welles
425,Joseph Cotten
426,Dorothy Comingore
427,Agnes Moorehead
428,Peter Lorre
429,Ellen Widmann
430,Inge Landgut
431,Otto Wernicke
432,Brigitte Helm
433,Alfred Abel
434,Gustav Fröhlich
435,Rudolf Klein-Rogge
436,Sushant Singh Rajput
437,Shraddha Kapoor
438,Varun Sharma
439,Prateik
440,Vicky Kaushal
441,Mohit Raina
442,Yami Gautam
443,Yash
444,Srinidhi Shetty
445,Ramachandra Raju
446,Archana Jois
447,Mahershala Ali
448,Linda Cardellini
449,Sebastian Maniscalco
450,Frances McDormand
451,Woody Harrelson
452,Sam Rockwell
453,Caleb Landry Jones
454,Irrfan Khan
455,Konkona Sen Sharma
456,Neeraj Kabi
457,Prabhas
458,Rana Daggubati
459,Anushka Shetty
460,Tamannaah Bhatia
461,Carlos Martínez López
462,Jason Schwartzman
463,Rashida Jones
464,Ajay Devgn
465,Shriya Saran
466,Rajat Kapoor
467,Kangana Ranaut
468,Rajkummar Rao
469,Lisa Haydon
470,Jeffrey Ho
471,Lembit Ulfsak
472,Elmo Nüganen
473,Giorgi Nakashidze
474,Misha Meskhi
475,Farhan Akhtar
476,Sonam Kapoor
477,Pawan Malhotra
478,Art Malik
479,Manoj Bajpayee
480,Richa Chadha
481,Nawazuddin Siddiqui
482,Tigmanshu Dhulia
483,Rajat Barmecha
484,Ronit Roy
485,Manjot Singh
486,Ram Kapoor
487,Mahie Gill
488,Rajesh Abhay
489,Hemendra Dandotiya
490,Ricardo Darín
491,Soledad Villamil
492,Pablo Rago
493,Carla Quevedo
494,Nick Nolte
495,Joel Edgerton
496,Jennifer Morrison
497,Emily Mortimer
498,Bob Peterson
499,Edward Asner
500,Jordan Nagai
501,John Ratzenberger
502,Jonah Hill
503,Margot Robbie
504,Shah Rukh Khan
505,Vidya Malvade
506,Sagarika Ghatge
507,Shilpa Shukla
508,Daniel Day-Lewis
509,Paul Dano
510,Ciarán Hinds
511,Martin Stringer
512,Ivana Baquero
513,Ariadna Gil
514,Sergi López
515,Maribel Verdú
516,Joan Cusack
517,Ned Beatty
518,Hugo Weaving
519,Rupert Graves
520,Stephen Rea
521,Soha Ali Khan
522,Siddharth
523,Rani Mukerji
524,Shernaz Patel
525,Ayesha Kapoor
526,Gayatri Joshi
527,Kishori Ballal
528,Smit Sheth
529,Bruno Ganz
530,Alexandra Maria Lara
531,Ulrich Matthes
532,Juliane Köhler
533,Chieko Baishô
534,Takuya Kimura
535,Tatsuya Gashûin
536,Akihiro Miwa
537,Ed Harris
538,Christopher Plummer
539,Akshay Kumar
540,Sunil Shetty
541,Jason Flemyng
542,Dexter Fletcher
543,Nick Moran
544,Kim Basinger
545,Sener Sen
546,Ugur Yücel
547,Sermin Hürmeriç
548,Yesim Salkim
549,Val Kilmer
550,Jon Voight
551,Sharon Stone
552,Salman Khan
553,Raveena Tandon
554,Karisma Kapoor
555,Gene Hackman
556,Richard Harris
557,Sean Connery
558,Alison Doody
559,Denholm Elliott
560,Davor Dujmovic
561,Bora Todorovic
562,Ljubica Adzovic
563,Husnija Hasimovic
564,Hitoshi Takagi
565,Noriko Hidaka
566,Chika Sakamoto
567,Shigesato Itoi
568,Alan Rickman
569,Bonnie Bedelia
570,Reginald VelJohnson
571,Akira Terao
572,Jinpachi Nezu
573,Daisuke Ryû
574,Cathy Moriarty
575,Frank Vincent
576,Alisa Freyndlikh
577,Aleksandr Kaydanovskiy
578,Anatoliy Solonitsyn
579,Nikolay Grinko
580,Liv Ullmann
581,Lena Nyman
582,Halvar Björk
583,Irene Papas
584,Michael Ansara
585,Johnny Sekka
586,Sanjeev Kumar
587,Dharmendra
588,Amjad Khan
589,Terry Jones
590,Graham Chapman
591,John Cleese
592,Eric Idle
593,Steve McQueen
594,James Garner
595,Richard Attenborough
596,Gregory Peck
597,John Megna
598,Frank Overton
599,Rosemary Murphy
600,Eijirô Tôno
601,Yôko Tsukasa
602,Spencer Tracy
603,Burt Lancaster
604,Richard Widmark
605,Marilyn Monroe
606,Tony Curtis
607,George Raft
608,Victor Sjöström
609,Bibi Andersson
610,Ingrid Thulin
611,Gunnar Björnstrand
612,Max von Sydow
613,Bengt Ekerot
614,Nils Poppe
615,Jean Servais
616,Carl Möhner
617,Robert Manuel
618,Janine Darcey
619,Ray Milland
620,Robert Cummings
621,John Williams
622,Chishû Ryû
623,Chieko Higashiyama
624,Sô Yamamura
625,Setsuko Hara
626,Machiko Kyô
627,Masayuki Mori
628,Bette Davis
629,Anne Baxter
630,George Sanders
631,Celeste Holm
632,Walter Huston
633,Tim Holt
634,Bruce Bennett
635,Carole Lombard
636,Jack Benny
637,Robert Stack
638,Felix Bressart
639,Noémie Merlant
640,Adèle Haenel
641,Luàna Bajrami
642,Valeria Golino
643,Taapsee Pannu
644,Kirti Kulhari
645,Andrea Tariang
