Movie_Id, Actor_id
1, 1
1, 2
1, 3
1, 4
2, 5
2, 6
2, 7
2, 8
3, 9
3, 10
3, 11
3, 12
4, 6
4, 13
4, 14
4, 8
5, 15
5, 16
5, 17
5, 18
6, 19
6, 20
6, 21
6, 22
7, 23
7, 24
7, 25
7, 26
8, 27
8, 28
8, 29
8, 30
9, 31
9, 32
9, 33
9, 34
10, 35
10, 36
10, 37
10, 38
11, 19
11, 21
11, 22
11, 39
12, 40
12, 41
12, 42
12, 43
13, 44
13, 45
13, 46
13, 47
14, 19
14, 21
14, 20
14, 22
15, 48
15, 49
15, 50
15, 51
16, 13
16, 52
16, 53
16, 54
17, 55
17, 56
17, 57
17, 58
18, 59
18, 60
18, 61
18, 62
19, 63
19, 64
19, 65
19, 66
20, 67
20, 68
20, 69
20, 70
21, 71
21, 72
21, 73
21, 74
22, 75
22, 76
22, 77
22, 78
23, 79
23, 80
23, 81
23, 82
24, 83
24, 84
24, 85
24, 86
25, 40
25, 87
25, 88
25, 89
26, 40
26, 90
26, 91
26, 92
27, 93
27, 94
27, 95
27, 96
28, 2
28, 35
28, 97
28, 98
29, 99
29, 100
29, 101
29, 102
30, 55
30, 56
30, 57
30, 103
31, 104
31, 105
31, 106
31, 107
32, 108
32, 109
32, 110
32, 111
33, 112
33, 113
33, 114
33, 115
34, 116
34, 13
34, 117
34, 118
35, 119
35, 120
35, 121
35, 122
36, 123
36, 124
36, 125
36, 126
37, 9
37, 127
37, 128
37, 12
38, 31
38, 87
38, 59
38, 129
39, 130
39, 131
39, 132
39, 133
40, 134
40, 116
40, 135
40, 136
41, 36
41, 137
41, 138
41, 139
42, 97
42, 140
42, 141
42, 142
43, 143
43, 144
43, 145
43, 146
44, 147
44, 148
44, 149
44, 150
45, 151
45, 152
45, 137
45, 153
46, 154
46, 155
46, 156
46, 157
47, 158
47, 159
47, 160
47, 161
48, 162
48, 163
48, 164
48, 165
49, 15
49, 166
49, 167
49, 168
50, 169
50, 170
50, 171
50, 172
51, 173
51, 174
51, 175
51, 176
52, 177
52, 178
52, 179
52, 180
53, 177
53, 181
53, 182
53, 183
54, 184
54, 185
54, 186
54, 187
55, 188
55, 189
55, 190
55, 191
56, 192
56, 72
56, 193
56, 194
57, 195
57, 196
57, 197
57, 198
58, 199
58, 200
58, 201
58, 202
59, 203
59, 204
59, 205
59, 206
60, 207
60, 208
60, 209
60, 210
61, 207
61, 208
61, 211
61, 210
62, 212
62, 213
62, 214
62, 215
63, 216
63, 217
63, 31
63, 218
64, 9
64, 219
64, 76
64, 144
65, 199
65, 72
65, 220
65, 221
66, 222
66, 223
66, 199
66, 224
67, 225
67, 226
67, 227
67, 228
68, 229
68, 230
68, 231
68, 232
69, 233
69, 234
69, 235
69, 236
70, 237
70, 51
70, 238
70, 239
71, 240
71, 241
71, 242
71, 243
72, 13
72, 244
72, 245
72, 246
73, 56
73, 247
73, 248
73, 249
74, 59
74, 250
74, 251
74, 252
75, 253
75, 5
75, 14
75, 254
76, 255
76, 256
76, 257
76, 258
77, 259
77, 260
77, 261
77, 262
78, 108
78, 263
78, 104
78, 264
79, 265
79, 266
79, 267
79, 268
80, 269
80, 270
80, 271
80, 272
81, 273
81, 274
81, 275
81, 276
82, 112
82, 277
82, 278
82, 279
83, 280
83, 281
83, 282
83, 283
84, 177
84, 178
84, 284
84, 285
85, 286
85, 287
85, 288
85, 289
86, 290
86, 291
86, 292
86, 293
87, 294
87, 295
87, 296
87, 297
88, 298
88, 299
88, 300
88, 301
89, 302
89, 303
89, 304
89, 305
90, 306
90, 307
90, 308
90, 309
91, 310
91, 311
91, 312
91, 313
92, 314
92, 315
92, 316
92, 317
93, 189
93, 318
93, 319
93, 320
94, 35
94, 321
94, 322
94, 323
95, 324
95, 325
95, 326
95, 327
96, 328
96, 329
96, 330
96, 331
97, 332
97, 35
97, 333
97, 334
98, 335
98, 336
98, 337
98, 338
99, 97
99, 339
99, 340
99, 341
100, 342
100, 87
100, 343
100, 344
101, 345
101, 346
101, 347
101, 348
102, 40
102, 349
102, 350
102, 351
103, 352
103, 353
103, 354
103, 355
104, 356
104, 357
104, 358
104, 359
105, 360
105, 361
105, 362
105, 363
106, 364
106, 365
106, 366
106, 367
107, 255
107, 368
107, 369
107, 122
108, 370
108, 371
108, 372
108, 373
109, 6
109, 374
109, 375
109, 376
110, 55
110, 56
110, 57
110, 58
111, 377
111, 378
111, 379
111, 380
112, 13
112, 99
112, 381
112, 382
113, 383
113, 384
113, 385
113, 386
114, 387
114, 388
114, 389
114, 390
115, 391
115, 392
115, 393
115, 394
116, 44
116, 46
116, 395
116, 396
117, 397
117, 103
117, 398
117, 399
118, 400
118, 401
118, 402
118, 403
119, 404
119, 405
119, 406
119, 407
120, 112
120, 408
120, 409
120, 410
121, 411
121, 412
121, 413
122, 109
122, 414
122, 415
122, 416
123, 417
123, 418
123, 419
123, 420
124, 402
124, 421
124, 422
124, 423
125, 424
125, 425
125, 426
125, 427
126, 428
126, 429
126, 430
126, 431
127, 432
127, 433
127, 434
127, 435
128, 436
128, 437
128, 438
128, 439
129, 440
129, 73
129, 441
129, 442
130, 443
130, 444
130, 445
130, 446
131, 20
131, 447
131, 448
131, 449
132, 450
132, 451
132, 452
132, 453
133, 454
133, 455
133, 456
133, 292
134, 457
134, 458
134, 459
134, 460
135, 461
135, 462
135, 120
135, 463
136, 464
136, 465
136, 295
136, 466
137, 467
137, 468
137, 469
137, 470
138, 471
138, 472
138, 473
138, 474
139, 475
139, 476
139, 477
139, 478
140, 479
140, 480
140, 481
140, 482
141, 483
141, 484
141, 485
141, 486
142, 454
142, 487
142, 488
142, 489
143, 490
143, 491
143, 492
143, 493
144, 219
144, 494
144, 495
144, 496
145, 31
145, 497
145, 210
145, 29
146, 498
146, 499
146, 500
146, 501
147, 31
147, 502
147, 503
147, 75
148, 504
148, 505
148, 506
148, 507
149, 508
149, 509
149, 510
149, 511
150, 512
150, 513
150, 514
150, 515
151, 40
151, 349
151, 516
151, 517
152, 518
152, 145
152, 519
152, 520
153, 199
153, 521
153, 522
153, 221
154, 260
154, 523
154, 524
154, 525
155, 9
155, 12
155, 34
155, 27
156, 504
156, 526
156, 527
156, 528
157, 529
157, 530
157, 531
157, 532
158, 533
158, 534
158, 535
158, 536
159, 134
159, 537
159, 337
159, 538
160, 539
160, 540
160, 73
160, 295
161, 541
161, 542
161, 543
161, 332
162, 97
162, 134
162, 237
162, 544
163, 545
163, 546
163, 547
163, 548
164, 6
164, 13
164, 549
164, 550
165, 13
165, 551
165, 53
165, 244
166, 199
166, 552
166, 553
166, 554
167, 44
167, 555
167, 2
167, 556
168, 56
168, 557
168, 558
168, 559
169, 560
169, 561
169, 562
169, 563
170, 564
170, 565
170, 566
170, 567
171, 26
171, 568
171, 569
171, 570
172, 104
172, 571
172, 572
172, 573
173, 13
173, 574
173, 53
173, 575
174, 576
174, 577
174, 578
174, 579
175, 174
175, 580
175, 581
175, 582
176, 398
176, 583
176, 584
176, 585
177, 586
177, 587
177, 260
177, 588
178, 589
178, 590
178, 591
178, 592
179, 593
179, 594
179, 595
179, 166
180, 596
180, 597
180, 598
180, 599
181, 108
181, 600
181, 104
181, 601
182, 602
182, 603
182, 604
182, 270
183, 605
183, 606
183, 400
183, 607
184, 608
184, 609
184, 610
184, 611
185, 612
185, 611
185, 613
185, 614
186, 615
186, 616
186, 617
186, 618
187, 619
187, 277
187, 620
187, 621
188, 622
188, 623
188, 624
188, 625
189, 108
189, 626
189, 627
189, 109
190, 628
190, 629
190, 630
190, 631
191, 173
191, 632
191, 633
191, 634
192, 635
192, 636
192, 637
192, 638
193, 639
193, 640
193, 641
193, 642
194, 643
194, 260
194, 644
194, 645
195, 85
195, 646
195, 198
195, 647
196, 648
196, 649
196, 650
196, 651
197, 652
197, 653
197, 654
197, 655
198, 656
198, 657
198, 658
198, 659
199, 660
199, 295
199, 437
199, 661
200, 127
200, 662
200, 663
200, 664
201, 665
201, 666
201, 667
201, 668
202, 669
202, 670
202, 671
202, 672
203, 673
203, 216
203, 674
203, 675
204, 676
204, 677
204, 678
204, 679
205, 199
205, 680
205, 681
205, 682
206, 73
206, 539
206, 683
206, 684
207, 28
207, 370
207, 685
207, 130
208, 343
208, 686
208, 687
208, 688
209, 689
209, 690
209, 691
209, 692
210, 693
210, 694
210, 695
210, 696
211, 697
211, 698
211, 699
211, 700
212, 701
212, 702
212, 703
212, 704
213, 705
213, 706
213, 707
213, 35
214, 708
214, 211
214, 709
214, 530
215, 87
215, 9
215, 710
215, 711
216, 210
216, 712
216, 713
216, 714
217, 715
217, 716
217, 717
217, 718
218, 719
218, 720
218, 721
218, 481
219, 722
219, 475
219, 723
219, 724
220, 127
220, 725
220, 726
220, 727
221, 219
221, 728
221, 729
221, 730
222, 731
222, 732
222, 733
222, 734
223, 44
223, 735
223, 736
223, 737
224, 738
224, 739
224, 740
224, 741
225, 742
225, 743
225, 744
225, 745
226, 746
226, 747
226, 748
226, 749
227, 750
227, 751
227, 752
227, 753
228, 754
228, 755
228, 756
228, 757
229, 758
229, 759
229, 760
229, 761
230, 762
230, 763
230, 764
230, 765
231, 681
231, 766
231, 719
231, 682
232, 767
232, 44
232, 2
232, 755
233, 768
233, 769
233, 116
233, 770
234, 771
234, 772
234, 773
234, 774
235, 775
235, 776
235, 777
235, 778
236, 681
236, 766
236, 779
236, 780
237, 67
237, 781
237, 782
237, 783
238, 199
238, 784
238, 785
238, 786
239, 24
239, 787
239, 788
239, 358
240, 789
240, 382
240, 790
240, 791
241, 31
241, 40
241, 792
241, 253
242, 793
242, 214
242, 794
242, 795
243, 796
243, 789
243, 797
243, 798
244, 799
244, 800
244, 801
244, 802
245, 199
245, 803
245, 779
245, 804
246, 26
246, 805
246, 750
246, 806
247, 357
247, 807
247, 808
247, 809
248, 324
248, 537
248, 810
248, 811
249, 812
249, 813
249, 814
249, 815
250, 816
250, 817
250, 798
250, 818
251, 819
251, 820
251, 821
251, 822
252, 823
252, 824
252, 825
252, 826
253, 816
253, 827
253, 450
253, 828
254, 829
254, 830
254, 831
254, 832
255, 833
255, 834
255, 835
255, 836
256, 504
256, 837
256, 838
256, 839
257, 775
257, 776
257, 840
257, 841
258, 842
258, 843
258, 844
258, 845
259, 846
259, 847
259, 819
259, 848
260, 849
260, 850
260, 851
260, 595
261, 508
261, 852
261, 853
261, 854
262, 855
262, 856
262, 857
262, 858
263, 857
263, 859
263, 860
263, 861
264, 342
264, 862
264, 775
264, 863
265, 864
265, 865
265, 866
265, 867
266, 868
266, 869
266, 870
266, 871
267, 872
267, 873
267, 874
267, 875
268, 876
268, 877
268, 878
268, 879
269, 880
269, 881
269, 871
269, 882
270, 883
270, 884
270, 885
270, 886
271, 887
271, 167
271, 888
271, 889
272, 890
272, 891
272, 892
272, 893
273, 56
273, 894
273, 895
273, 896
274, 100
274, 257
274, 897
274, 898
275, 590
275, 591
275, 899
275, 900
276, 13
276, 792
276, 901
276, 902
277, 903
277, 904
277, 905
277, 906
278, 907
278, 280
278, 908
278, 14
279, 909
279, 910
279, 388
279, 911
280, 912
280, 913
280, 914
280, 915
281, 59
281, 907
281, 916
281, 917
282, 909
282, 918
282, 919
282, 920
283, 921
283, 580
283, 922
283, 610
284, 923
284, 924
284, 925
284, 926
285, 927
285, 928
285, 929
285, 930
286, 383
286, 931
286, 932
286, 933
287, 609
287, 580
287, 934
287, 611
288, 578
288, 935
288, 579
288, 936
289, 937
289, 938
289, 939
289, 940
290, 941
290, 942
290, 943
290, 944
291, 628
291, 945
291, 946
291, 947
292, 108
292, 104
292, 948
292, 949
293, 112
293, 950
293, 171
293, 951
294, 952
294, 953
294, 954
294, 955
295, 612
295, 956
295, 957
295, 958
296, 602
296, 959
296, 411
296, 960
297, 961
297, 962
297, 963
297, 964
298, 965
298, 399
298, 966
298, 967
299, 108
299, 968
299, 969
299, 970
300, 971
300, 928
300, 972
300, 973
301, 108
301, 969
301, 974
301, 109
302, 280
302, 103
302, 399
302, 975
303, 5
303, 976
303, 16
303, 977
304, 978
304, 979
304, 980
304, 981
305, 273
305, 982
305, 983
305, 984
306, 985
306, 986
306, 987
306, 988
307, 424
307, 425
307, 989
307, 990
308, 991
308, 992
308, 993
308, 994
309, 995
309, 112
309, 996
309, 997
310, 998
310, 999
310, 630
310, 1000
311, 112
311, 1001
311, 176
311, 1002
312, 1003
312, 1004
312, 1005
312, 1006
313, 1007
313, 1008
313, 1009
313, 282
314, 1005
314, 1010
314, 1011
314, 1012
315, 1013
315, 1014
315, 1015
315, 1016
316, 177
316, 1017
316, 1018
316, 1019
317, 1020
317, 1021
317, 1022
317, 1023
318, 294
318, 1024
318, 1025
318, 202
319, 870
319, 1026
319, 1027
319, 1028
320, 539
320, 1029
320, 1030
320, 1031
321, 552
321, 1032
321, 481
321, 1033
322, 539
322, 1034
322, 458
322, 643
323, 1035
323, 1036
323, 1037
323, 120
324, 1038
324, 1039
324, 1040
324, 1041
325, 87
325, 77
325, 1042
